"item1","item2","correlation","topic","k"
"mobil","phone",0.680933799316497,1,10
"phone","mobil",0.680933799316497,1,10
"digit","technolog",0.427116427468581,1,10
"technolog","digit",0.427116427468581,1,10
"digit","mobil",0.308856191195352,1,10
"mobil","digit",0.308856191195352,1,10
"digit","broadband",0.308685614274691,1,10
"broadband","digit",0.308685614274691,1,10
"download","digit",0.290438368161689,1,10
"digit","download",0.290438368161689,1,10
"mobil","technolog",0.287235656444378,1,10
"technolog","mobil",0.287235656444378,1,10
"broadband","technolog",0.282223538807319,1,10
"technolog","broadband",0.282223538807319,1,10
"phone","network",0.276789460870154,1,10
"network","phone",0.276789460870154,1,10
"digit","phone",0.268803694910603,1,10
"phone","digit",0.268803694910603,1,10
"mobil","network",0.263256035878879,1,10
"network","mobil",0.263256035878879,1,10
"technolog","network",0.260524677082636,1,10
"network","technolog",0.260524677082636,1,10
"download","technolog",0.258240832020516,1,10
"technolog","download",0.258240832020516,1,10
"download","music",0.25246356797916,1,10
"music","download",0.25246356797916,1,10
"digit","music",0.247819469894192,1,10
"music","digit",0.247819469894192,1,10
"broadband","network",0.234795644989659,1,10
"network","broadband",0.234795644989659,1,10
"technolog","phone",0.23079408004053,1,10
"phone","technolog",0.23079408004053,1,10
"download","mobil",0.214300632775976,1,10
"mobil","download",0.214300632775976,1,10
"download","phone",0.21003711433416,1,10
"phone","download",0.21003711433416,1,10
"broadband","servic",0.209673935673604,1,10
"servic","broadband",0.209673935673604,1,10
"digit","network",0.202126714599304,1,10
"network","digit",0.202126714599304,1,10
"download","network",0.192461509895395,1,10
"network","download",0.192461509895395,1,10
"download","broadband",0.187388455273053,1,10
"broadband","download",0.187388455273053,1,10
"phone","servic",0.18652529431275,1,10
"servic","phone",0.18652529431275,1,10
"broadband","phone",0.163881305566546,1,10
"phone","broadband",0.163881305566546,1,10
"servic","network",0.156369044629148,1,10
"network","servic",0.156369044629148,1,10
"mobil","servic",0.15325556900259,1,10
"servic","mobil",0.15325556900259,1,10
"digit","servic",0.135887323307849,1,10
"servic","digit",0.135887323307849,1,10
"download","servic",0.13162916199843,1,10
"servic","download",0.13162916199843,1,10
"technolog","servic",0.122584371988902,1,10
"servic","technolog",0.122584371988902,1,10
"broadband","mobil",0.120677436802827,1,10
"mobil","broadband",0.120677436802827,1,10
"music","mobil",0.0975070688034296,1,10
"mobil","music",0.0975070688034296,1,10
"music","broadband",0.0824456824927546,1,10
"broadband","music",0.0824456824927546,1,10
"music","technolog",0.0572008106620358,1,10
"technolog","music",0.0572008106620358,1,10
"broadband","peopl",0.053338813698803,1,10
"peopl","broadband",0.053338813698803,1,10
"download","peopl",0.049128578625922,1,10
"peopl","download",0.049128578625922,1,10
"music","phone",0.0331956562951314,1,10
"phone","music",0.0331956562951314,1,10
"digit","peopl",0.0260029762108339,1,10
"peopl","digit",0.0260029762108339,1,10
"music","network",0.0238733169585843,1,10
"network","music",0.0238733169585843,1,10
"technolog","peopl",0.00561687481612774,1,10
"peopl","technolog",0.00561687481612774,1,10
"mobil","peopl",3.06818438190048e-05,1,10
"peopl","mobil",3.06818438190048e-05,1,10
"phone","peopl",-0.00900033062492673,1,10
"peopl","phone",-0.00900033062492673,1,10
