"Label","Text_number","full_text"
"Business",1716,"consumer confidence consumers confidence economy months optimistic influential survey feel factor consumers rose december time july data conference board survey households renewed optimism job creation economic growth retailers reported strong sales past days slow start crucial festive season figures released tuesday sales shopping malls week december minute rush wal mart largest retailer december sales expected previously forecast strong post christmas sales expecting annual sales growth month consumer confidence figures considered key economic indicator consumer spending accounts thirds economic activity united continuing economic expansion combined job growth consumers note lynn franco director conference consumer research centre consumers outlook suggests economy continue expand half economy performed strongly recent months prompting federal reserve increase rates times june"
"Business",1717,"ticking budget facing budget proposals laid administration president george bush highly controversial washington based economic policy institute critical president fault lines politicians citizens political persuasions dose shock therapy major current policies political prejudices federal budget simply hold news coverage bush budget dominated debates spending cuts cuts programs standpoint fiscal trends cuts gratuitous budget train wreck direct threat federal ability debts social security trust fund fund begin require cash returns bond holdings finance promised benefits trigger coming shock rising federal debt grow conservative estimates half total annual output upward trend force increased borrowing federal government putting upward pressure rates faced consumers business growing share borrowing abroad government finance operations heavy borrowing central banks japan china nations bode influence world decline dollar warning sign current economic trends continue dollar sinking credit markets react rates creep upwards shock sensitive industries feel pain immediately sectors housing automobiles consumer durables agriculture business recall news footage angry farmers driving heavy equipment capitol late 1970s constitutional amendments balance budget public outcry force congress act act wisely matter happen definition deficit means revenue spending neutral description adequately capture current situation federal revenues 1950s levels spending remains recent decades addition united significant military missions bush chosen remedy feasible reducing domestic spending eliminating waste fraud abuse toothless slice budget solve congress rash balance budget spending left law enforcement space exploration environmental clean economic development business administration housing veterans benefits aid local governments disappear fantasy routine government functions slashed biggest spending growth defence including homeland security health care elderly poor extent increases inevitable population aging nation genuine threats world savings found money savings health care spending expense health achieved wholesale reform entire system public private brute force budget cuts spending caps ill serve elderly indigent revenue share revenue lost tax cuts enacted replaced rearranging hold people harmless focus pain incomes finally blind allegiance balanced budget abandoned reason fixate moderate deficits slowly rising federal debt sustained indefinitely borrowing investments education infrastructure pay future makes sense sooner reality sooner workable reforms pursued list tax reform raise revenue simplify tax code restore fairness eroded bush tax cuts dispassionate evaluation huge increase defence spending past unrelated afghanistan iraq terrorism start debate scale health care reform destroying budget save equip economy government challenges century"
"Business",1718,"mitsubishi peugeot link talks trouble hit mitsubishi motors talks french carmaker psa peugeot citroen alliance tuesday mitsubishi major japanese car firm red confirmed earlier reports negotiations spokesman refused comment speculation mitsubishi building cars psa japanese rival nissan mitsubishi hit recall scandal withdrawal support shareholder daimlerchrysler german firm majority shareholder decided april stop providing financial sales slid past catalysed revelation company systematically hiding records faults secretly repairing vehicles mitsubishi due unveil recovery plan january analysts alliances carmakers slow sales left manufacturing capacity"
"Business",1719,"bmw reveals models pipeline bmw preparing enter market car style people carriers chief told bbc news speaking bmw event ahead geneva motor helmut panke predicted demand crossover vehicles soar europe contrast popularity van style seat vehicles traditional saloon cars fade customers moving mini van traditional concepts attractive anymore decided bmw enter crossover segment clearest indication car intentions panke praised honda accura execution crossover vehicle decided bmw brand enter segment decision bmw manage entry market due half typically takes decision model hits streets panke implying bmw crossover market coming switch driven successful carmakers stay aware trans atlantic differences car market panke insisted drivers tend prefer sports utility vehicles suvs bmw x5 sibling x3 europe demand crossover vehicles considerable panke growing market"
"Business",1720,"world leaders gather uncertainty business political leaders globe arriving swiss mountain resort davos annual world economic forum wef days discuss issues ranging economic power future elections uk prime minister tony blair south african president thabo mbeki government leaders heads leaders attending meeting unlike previous protests wef expected muted anti globalisation campaigners called demonstration planned weekend brazilian city porto alegre host rival world social forum timed run parallel ritzier event davos organisers brazilian gathering brings thousands campaigners globalisation fair trade promised set alternative agenda swiss summit issues discussed porto alegre davos talking global warming features wef participants offset carbon emissions travelling event davos deep frost snow piled mountain village night wind chill takes temperatures minus 20c ultimately forum dominated business issues outsourcing corporate leadership bosses largest companies scheduled attend media focus political leaders coming davos agenda forum lack overarching theme taking responsibility tough choices official talking hinting welter knotty transatlantic disagreements deal iran iraq china set dominate discussions pointedly senior official president administration scheduled attend government conciliatory gesture happened ago vice president dick cheney surprise appearance davos president viktor yushchenko speak days inauguration event crowned civil protests rigged election power european top leaders german chancellor gerhard schroeder european commission president manuel barosso blair formally proceedings speech pre empted french president jacques chirac announced attendance minute secured slot special message hours blair speaks organisers hope palestinian leader mahmoud abbas opportunity talks israeli deputy prime ministers coming event list includes shimon peres davos fans hark talks yassir arafat peres close peace deal appearance keenly watched political observers uk claim calculated snub political rival chancellor gordon brown supposed lead uk government delegation microsoft founder bill gates richest regular davos focus campaigning business wholly absent donated billions dollars fight aids malaria gates call world leaders support global vaccination campaign protect children developing countries easily preventable diseases tuesday gates pledged 750m 400m money support gates company software giant microsoft hopes davos shore defences source software linux threaten monopoly computer desktops gates arrange meeting president lula da silva brazilian government plans switch government computers microsoft linux davos global solving networking"
"Business",1721,"madagascar completes currency switch madagascar completed replacement malagasy franc currency ariary monday prices contracts quoted ariary trading dollar malagasy franc lost half legal tender remain exchangeable banks phasing franc begun july intended distance country past french colonial rule address amount counterfeit francs circulation question sovereignty reuters quoted central bank official symbolic independence colonial left french monetary zone currency ariary pre colonial currency indian ocean island"
"Business",1722,"troubled marsh sec scrutiny stock market regulator investigating troubled insurance broker marsh shareholder transactions firm securities exchange commission information transactions involving holders shares marsh operating sec investigation marsh focus inquiry york attorney insurers rigged market inquiry launched october marsh replaced chief executive held boardroom shake meet criticism lessening company executives board prosecutors allege marsh biggest insurance broker insurance firms fixed bids corporate cover issue heart inquiry top law officer eliot spitzer separate prosecution insurers california investigation called related party transactions includes dealings trident funds managed mmc capital private equity firm chief executive michael cherkasky negotiate settlement spitzer spitzer built reputation fierce critic campaigner corporate misdeeds uncertainty unleashed scandal prompted credit rating agencies standard fitch downgrade marsh recent weeks financial times insurance analysts questioning marsh maintain strong record earning growth draw forecasts quarter doubts exist company pay regulators lawyers scandal"
"Business",1723,"india power shares jump debut shares largest power producer national thermal power corp ntpc risen stock market debut partial sell ntpc controversial programme privatise run firms million share offer mix shares sales government raised 54bn rupees 1bn stock debut months coming flotation software firm tata share offer eleven times oversubscribed investment bet suhas naik investment analyst ing mutual fund power india set rise ntpc benefit analysts success ntpc flotation encourage government reduce stakes power companies ntpc money share sale feed growing energy starved economy firm largest utility company india sixth largest power producer world"
"Business",1724,"market unfazed aurora setback aurora limped dock january blizzard photos interviews add unambiguous tale woe ship slice bad luck add history health scares technical trouble owner cruises huge carnival corporation significant slice chopped profits potential pr fiasco told stock markets warning cent hit earnings hours biggest investment banks upped target share price investors barely blinked gmt shares london single penny mismatch public perception response aurora issue ongoing time deutsche simon champion source uncertainty company cruise stock market treating issues events string bad luck aurora vessel carnival fleet princess merged larger firm speaking carnival reputation keeping ships pretty schedule carnival incredibly strong track record champion similarly analysts expect impact rest cruise business limited hundreds disappointed passengers opportunity spend months aurora refund credit cruise mitigate pr risk carnival main competitor royal caribbean common cancellations technical reasons unusual industry wrote analysts citigroup smith barney note clients friday events typically limited impact bookings pricing future cruises aurora incident news uk carnival customers splash assuming citigroup demand stays solid structure industry favour wake takeover carnival business extent duopoly expense building outfitting running cruise ship slowing supply growth certainty david anders merrill lynch thursday words cruise options limited carnival remaining market leader set selling tickets matter ill fated aurora future"
"Business",1725,"french consumer spending rising french consumers increased spending january figure bodes economic growth figures revealed national statistic institute insee added consumer spending january rose basis rising sales household equipment increase insee french consumer prices fell january annual basis increase spending january french households bought fewer cars january insee car sales fell january fall december basis sector sales increase consumer spending fuelled economic growth quarter analysts expect continue support economy growth remain fragile vulnerable risks strong rise term rates tension oil price emmanuel ferry exane bnp paribas told reuters news agency italy consumer confidence rose level october economic research isae italian consumer confidence rose slight deterioration short term sentiment"
